name,author,ingredients,steps,link
酥炸小黄鱼,putimama,小黄魚、淀粉、面包糠、淀粉水、薄荷、椒盐、食用油、料酒、盐、胡椒粉。,"1.将小黄魚去头及内脏洗净。
2.加入盐、料酒、腌制20分钟入味。
3.先将小黄魚粘上淀粉。
4.再粘淀粉水后，放入面包糠中裹匀。
5.锅中食用油烧至5层热，下入小黄魚炸制。
6.炸制两遍捞出装盘，撒入椒盐、薄……",https://home.meishichina.com/recipe-666657.html
蚕豆小炒,putimama,蚕豆、小胡萝卜、元葱、食用油、料酒、生抽、盐。,"1.胡萝卜洗净去皮，切成片。
2.放入锅中焯水几分钟。
3.蚕豆洗净焯水。
4.快炒出锅，盛入盘中。",https://home.meishichina.com/recipe-666642.html
炒红薯叶,金凤栖梧,红薯叶、蒜花、干辣椒、盐、味精、油。,,https://home.meishichina.com/recipe-666671.html
苹果玉米沙拉,兰杏梅,苹果、熟玉米粒、沙拉酱、盐、黑辣椒粉。,,https://home.meishichina.com/recipe-666665.html
酱卤牛肉,清水淡竹,牛腱子、八角、草果、花椒、香叶、干辣椒、姜片、香葱、豆瓣酱、冰糖、生抽、老抽、料酒、盐。,,https://home.meishichina.com/recipe-666649.html
烤羊腿,美拉拉的美食日记,鲜羊腿、洋葱、苹果、蚝油、生抽、辣椒粉。,,https://home.meishichina.com/recipe-666664.html
赛螃蟹,兰杏梅,鸡蛋、姜、花生油、盐、醋。,,https://home.meishichina.com/recipe-666651.html
香肠茼蒿炒年糕,清水淡竹,香肠、鸭蛋、茼蒿、香菇、年糕、蒜、油、盐、料酒、蚝油。,"1.香肠切片。
2.上锅蒸10分钟。
3.茼蒿洗净切段，香菇切片，蒜瓣切片。
4.年糕切条。
5.鸭蛋加盐、料酒、少许水打散。
6.热锅冷油，倒入蛋液炒成块盛出。
7.锅中放油炒香蒜片。
8.先后放入香菇、茼蒿翻炒……",https://home.meishichina.com/recipe-666640.html
酸菜烧鸭血,兰杏梅,酸菜、鸭血、五花肉、姜、干红辣椒、蒜、葱、纯净水、花生油、盐、白酒、耗油、生抽、鸡精。,"1.腌制的酸菜。
2.酸菜切好。
3.挤出多余的水分。
4.姜切丝、干红辣椒切段、蒜切片和葱花备用。
5.五花肉备用。
6.鸭血洗净备用。
7.切成厚点的片。(太薄煮出来就烂了)
8.冷水下锅。
9.放少许白酒，水开……",https://home.meishichina.com/recipe-666639.html
自制鸡蛋豆腐,美拉拉的美食日记,黄豆、鸡蛋、葱花、蚝油。,"1.鸡蛋加少许盐调味打散备用。
2.把黄豆打成豆浆汁后过滤备用。
3.把两种液体混合均匀后盖上保鲜膜上锅蒸十五分钟左右取出。
4.晾凉后切块备用。
5.小火少油慢煎至两面金黄。
6.调入蚝油酱汁后加入葱段即可食……",https://home.meishichina.com/recipe-666635.html
荠菜鲜肉汤圆,清水淡竹,夹心肉、荠菜冬笋鲜肉馅、糯米粉、盐。,"1.糯米粉130g加开水70g，用筷子搅成絮状。
2.用手揉成粉团，盖保鲜膜饧发半个小时。
3.春日吃春菜，调好的荠菜冬笋鲜肉馅。
4.取适量粉团捏成中间厚四周薄，放上馅料。
5.收好口，全部做好。
6.锅中水……",https://home.meishichina.com/recipe-666634.html
囗蘑酿虾滑,金凤栖梧,虾滑、口蘑、清水、生抽、蚝油、老抽、黑胡椒、淀粉、食盐、芝麻。,"1.备好食材。料汁为调料和辅料放一起调匀的。口蘑掰掉柄。
2.挤入虾滑。
3.煎至两面金黄。
4.翻个煎。
5.倒入料汁，炖一下使浓稠。
6.最后撒上芝麻与葱碎。
7.成品。
8.上桌了。",https://home.meishichina.com/recipe-666633.html
#元宵#咸酸粥,清水淡竹,咸排骨、咸肉、咸排骨、虾干、干香菇、毛芋、大米、花生米、甜玉米粒、豌豆、豆干、红豆、芥菜、姜片、油、盐、料酒、生抽。,,https://home.meishichina.com/recipe-666631.html
黑芝麻花生汤圆,芊芊美食记WQ,糯米粉、温水、熟黑芝麻、熟花生、猪油、糖、熟油。,,https://home.meishichina.com/recipe-666622.html
绿茶豆浆,兰杏梅,黄豆、绿茶、纯净水。,,https://home.meishichina.com/recipe-666624.html
𰻝𰻝面,金凤栖梧,面粉、温水、盐、生菜叶、猪肉、鸡蛋、西红柿、盐、生抽、老抽、花椒粉、八角、孜然粒、细辣椒面、粗辣椒面、干辣椒、蒜花、葱花、花椒粒。,,https://home.meishichina.com/recipe-666623.html
五指毛桃炖土鸡,清水淡竹,土鸡、干香菇、红枣、五指毛桃、薏米、枸杞、姜、盐、料酒、生抽。,,https://home.meishichina.com/recipe-666564.html
炸油饼,美食家_XYDl_jjVM,包饺子面、油、盐。,"1.把饺子面放在案板上拉长卷起。
2.按成一个油饼生坯。
3.锅里倒入多一点的油热后下入油饼生坯。
4.炸入两面金黄控油捞出装盘。
5.成品图。",https://home.meishichina.com/recipe-666611.html
黑芝麻汤圆,芊芊美食记WQ,糯米粉、温水、黑芝麻、花生米、糖、猪油。,"1.花生打成粉。
2.黑芝麻打成粉。
3.全部倒入大碗中。
4.加入糖和猪油。
5.搅拌均匀。
6.搓成10克一个的小剂子。
7.放冰箱冷冻半个小时定型。
8.150克糯米粉。
9.加入100克温水。
10.搅拌均匀，……",https://home.meishichina.com/recipe-666619.html
柿子汤圆,芊芊美食记WQ,水磨糯米粉、温水、熟黑芝麻、熟花生、糖、猪油、黄金芝士粉、抹茶粉。,"1.熟花生打成粉。
2.熟黑芝麻打成粉。
3.全部做倒入碗中。
4.加入糖和猪油。
5.搅拌均匀。
6.搓成10克一个的小剂子。
7.全部做完，放入冰箱冷藏半小时。
8.150克糯米粉。
9.加入100克温水。
10.……",https://home.meishichina.com/recipe-666617.html
方便面鸡蛋煎饼,兰杏梅,碎方便面、鸡蛋、花生油。,"1.碎方便面备用。
2.敲入两个鸡蛋。
3.顺时针搅拌均匀成稀糊状。
4.平底锅烧热放适量油，倒入糊糊，摊匀。
5.小火慢煎。
6.翻面。
7.煎至两面金黄色即可。
8.成品图。
9.切片装盘。
10.美味可口。",https://home.meishichina.com/recipe-666616.html
麻婆豆腐,阳春白雪！,豆腐、大葱、大蒜、玉米淀粉、郫县豆瓣酱、生抽、麻椒粉、白胡椒粉。,"1.准备主要食材:嫩豆腐或者中豆腐200克⎮大蒜大葱切碎⎮郫县豆瓣一勺⎮麻椒粉1克⎮白胡椒粉1克⎮生抽1勺⎮玉米淀粉1克。
2.喷少许油，把葱蒜豆瓣酱炒一下。
3.适量清水，豆腐放进去，加生抽，麻椒粉，白……",https://home.meishichina.com/recipe-666615.html
洋葱猪排,rosejyy2000,猪排肉、大洋葱、小苏打、生抽、白糖、胡椒粉、白兰地、清水、味极鲜、蚝油、生抽、味啉、生粉、麻油、清水。,,https://home.meishichina.com/recipe-666614.html
味极鲜爆虾,rosejyy2000,活虾、生粉、精盐、胡椒粉、白兰地、红葱头片、蒜末、姜末、味极鲜、辣椒油、味啉、白兰地、清水。,,https://home.meishichina.com/recipe-666613.html
黄瓜拌皮蛋,阳春白雪！,黄瓜、皮蛋、小米辣、大蒜、生姜、生抽、米醋、白糖、鸡精、芝麻香油。,,https://home.meishichina.com/recipe-666612.html
三鲜鸡蛋汤,，_yjsF,蔬菜、鸡蛋、酥肉、火腿、腊肉片、盐、生姜、鸡精、花椒。,,https://home.meishichina.com/recipe-666610.html
鲫鱼豆腐汤,，_yjsF,鲫鱼、豆腐、盐、姜、菜籽油、猪油。,,https://home.meishichina.com/recipe-666609.html
