黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,500520
高山下的花环,谢晋 Jin Xie,1984(中国大陆) / 1985,9.5,162567
小丑,托德·菲利普斯 Todd Phillips,2019,8.7,1130597
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.9,474352
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,925481
电锯惊魂,詹姆斯·温 James Wan,2004,8.7,617748
无间道2,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,2003,8.8,572580
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,509555
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,926446
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,8.9,391477
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.9,478751
疯狂的石头,宁浩 Hao Ning,2006,8.6,932115
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,271450
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.9,400732
海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,525969
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,9.0,335504
风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,395849
心迷宫,忻钰坤 Yukun Xin,2014,8.7,623097
英雄本色,吴宇森 John Woo,1986,8.6,610460
纵横四海,吴宇森 John Woo,1991,8.8,490845
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,686743
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,616097
卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,369575
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,999224
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,373865
东京教父,今敏 Satoshi Kon,2003,9.0,294433
小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,900082
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,528704
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.7,689940
芙蓉镇,谢晋 Jin Xie,1987,9.3,193268
忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,9.2,220335
岁月神偷,罗启锐 Alex Law,2010,8.7,615091
遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,543521
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.7,521908
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,559372
源代码,邓肯·琼斯 Duncan Jones,2011,8.6,932679
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,838843
白日梦想家,本·斯蒂勒 Ben Stiller,2013,8.6,657721
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,1131666
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,622958
可可西里,陆川 Chuan Lu,2004,8.9,349142
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,378641
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,810440
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,696048
城市之光,查理·卓别林 Charles Chaplin,1931,9.3,174696
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,8.6,696881
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.6,702248
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,8.7,568240
青蛇,徐克 Hark Tsui,1993,8.6,605075
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,8.8,378274
东邪西毒,王家卫 Kar Wai Wong,1994,8.6,638932
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,389409
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,851531
新龙门客栈,李惠民 Raymond Lee,1992,8.7,514291
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010,1997,8.8,354963
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,506737
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,580208
雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,445646
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,298828
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,8.6,702279
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.6,692190
罗生门,黑泽明 Akira Kurosawa,1950,8.8,361343
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,8.6,659778
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.5,755151
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,845234
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.5,812164
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,459160
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013,8.5,839728
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,331301
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,603967
千年女优,今敏 Satoshi Kon,2001,8.8,320995
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,403205
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018,8.6,762670
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,418660
攻壳机动队,押井守 Mamoru Oshii,1995,9.0,221137
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,424623
小姐,朴赞郁 Chan-wook Park,2016,8.5,583933
血观音,杨雅喆 Ya-che Yang,2017,8.6,571872
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,8.9,276177
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,312820
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.7,402152
