模型,新闻A,新闻B,相似度
Word2Vec 平均词向量,人工智能技术加速进入制造业,国产大模型推动智能办公升级,0.6427223
Doc2Vec 文档向量,人工智能技术加速进入制造业,国产大模型推动智能办公升级,0.9262826
Doc2Vec infer_vector,人工智能技术加速进入制造业,国产大模型推动智能办公升级,0.6288636
