date,value
2011,0.8
2012,1.3
2013,1.76
2014,7.48
2015,33.1
2016,50.7
2017,77.7
2018,125.6
2019,120.6
2020,136.7
2021,352.1
2022,688.7
2023,949.5
2024,1286.6
