date,china,world_total,world_minus_china,china_share
2015,0.33,0.55,0.22,60.0
2016,0.51,0.78,0.27,65.4
2017,0.78,1.22,0.44,63.9
2018,1.26,2.02,0.76,62.4
2019,1.21,2.25,1.04,53.8
2020,1.37,3.12,1.75,43.9
2021,3.52,6.75,3.23,52.1
2022,6.89,10.52,3.63,65.5
2023,9.5,14.2,4.7,66.9
2024,11.0,17.0,6.0,64.7
2025,12.5,20.0,7.5,62.5
